Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Estimate,Chrome 67.0.3396.87,,2018-07-12 02:06:55,2018-07-12 06:28:41,4h - 21m - 45.788s,FAILED
,,,,,,
Test Cases/BEP/TestCases/TC_CreateBEP_EmailOutput_SendEmail_CreateECR,Chrome 67.0.3396.87,,2018-07-12 02:06:56,2018-07-12 02:32:21,25m - 25.407s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 02:06:56,2018-07-12 02:20:14,13m - 17.304s,PASSED
Statement - SendEmail = false,Chrome 67.0.3396.87,,2018-07-12 02:20:14,2018-07-12 02:20:14,0.000s,PASSED
Statement - CreateECR = true,Chrome 67.0.3396.87,,2018-07-12 02:20:14,2018-07-12 02:20:14,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 02:20:14,2018-07-12 02:32:21,12m - 7.251s,PASSED
,,,,,,
Test Cases/BEP/TestCases/TC_CreateBEP_EmailOutput_SendEmail_NoECR,Chrome 67.0.3396.87,,2018-07-12 02:32:21,2018-07-12 02:55:45,23m - 23.595s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 02:32:21,2018-07-12 02:44:33,12m - 12.167s,PASSED
Statement - SendEmail = true,Chrome 67.0.3396.87,,2018-07-12 02:44:33,2018-07-12 02:44:33,0.000s,PASSED
Statement - CreateECR = false,Chrome 67.0.3396.87,,2018-07-12 02:44:33,2018-07-12 02:44:33,0.000s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 02:44:33,2018-07-12 02:55:45,11m - 11.191s,PASSED
,,,,,,
Test Cases/BEP/TestCases/TC_CreateBEP_EmailOutput_SkipEmail_CreateECR,Chrome 67.0.3396.87,,2018-07-12 02:55:45,2018-07-12 03:19:58,24m - 13.627s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 02:55:45,2018-07-12 03:07:53,12m - 7.954s,PASSED
Statement - SendEmail = false,Chrome 67.0.3396.87,,2018-07-12 03:07:53,2018-07-12 03:07:53,0.001s,PASSED
Statement - CreateECR = true,Chrome 67.0.3396.87,,2018-07-12 03:07:53,2018-07-12 03:07:53,0.000s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 03:07:53,2018-07-12 03:19:58,12m - 5.401s,PASSED
,,,,,,
Test Cases/BEP/TestCases/TC_CreateBEP_EmailOutput_SkipEmail_NOECR,Chrome 67.0.3396.87,,2018-07-12 03:19:58,2018-07-12 03:44:17,24m - 19.223s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 03:19:58,2018-07-12 03:32:06,12m - 7.406s,PASSED
Statement - SendEmail = false,Chrome 67.0.3396.87,,2018-07-12 03:32:06,2018-07-12 03:32:06,0.001s,PASSED
Statement - CreateECR = false,Chrome 67.0.3396.87,,2018-07-12 03:32:06,2018-07-12 03:32:06,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 03:32:06,2018-07-12 03:44:17,12m - 11.586s,PASSED
,,,,,,
Test Cases/BEP/TestCases/TC_Withdraw,Chrome 67.0.3396.87,,2018-07-12 03:44:17,2018-07-12 03:58:55,14m - 37.875s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 03:44:18,2018-07-12 03:56:18,12m - 0.005s,PASSED
com.helper.commonfunct.commonutilities.login,Chrome 67.0.3396.87,,2018-07-12 03:56:18,2018-07-12 03:57:07,49.226s,PASSED
"Statement - WOID = ""BEP-18May2018-11""",Chrome 67.0.3396.87,,2018-07-12 03:57:07,2018-07-12 03:57:07,0.001s,NOT_RUN
com.helper.commonfunct.commonutilities.search,Chrome 67.0.3396.87,,2018-07-12 03:57:07,2018-07-12 03:57:47,40.321s,PASSED
com.helper.commonfunct.BEP_CommonMethod.withdraw,Chrome 67.0.3396.87,,2018-07-12 03:57:47,2018-07-12 03:58:55,1m - 8.054s,PASSED
,,,,,,
Test Cases/BEP/TestCases/TC_Create_BEP_EmailOutputMoreThanOneRLS,Chrome 67.0.3396.87,,2018-07-12 03:58:55,2018-07-12 04:23:33,24m - 37.507s,PASSED
Statement - morethanOneRLS = true,Chrome 67.0.3396.87,,2018-07-12 03:58:56,2018-07-12 03:58:56,0.004s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 03:58:56,2018-07-12 04:11:26,12m - 30.478s,PASSED
Statement - SendEmail = false,Chrome 67.0.3396.87,,2018-07-12 04:11:26,2018-07-12 04:11:26,0.001s,PASSED
Statement - CreateECR = true,Chrome 67.0.3396.87,,2018-07-12 04:11:26,2018-07-12 04:11:26,0.001s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-07-12 04:11:26,2018-07-12 04:23:33,12m - 6.539s,PASSED
,,,,,,
Test Cases/BEP/Create_Approve_Reject/CreateBEP_Approve_DataDriven,Chrome 67.0.3396.87,,2018-07-12 04:23:33,2018-07-12 04:35:00,11m - 26.919s,PASSED
com.helper.commonfunct.commonutilities.login,Chrome 67.0.3396.87,,2018-07-12 04:23:34,2018-07-12 04:24:22,48.794s,PASSED
com.helper.commonfunct.BEP_CommonMethod.Estimate,Chrome 67.0.3396.87,,2018-07-12 04:24:22,2018-07-12 04:35:00,10m - 37.370s,PASSED
"Statement - While (WOSTATUS.contains(""PENDING"") && AssignmentList.size() > 0)",Chrome 67.0.3396.87,,2018-07-12 04:35:00,2018-07-12 04:35:00,0.036s,PASSED
,,,,,,
Test Cases/BEP/Create_Approve_Reject/CreateBEP_Approve_DataDriven,Chrome 67.0.3396.87,,2018-07-12 04:35:00,2018-07-12 04:46:36,11m - 36.237s,PASSED
